name,official_name,population,region,capital
Senegal,Republic of Senegal,16743930,Africa,Dakar
Lesotho,Kingdom of Lesotho,2142252,Africa,Maseru
Vanuatu,Republic of Vanuatu,307150,Oceania,Port Vila
Monaco,Principality of Monaco,39244,Europe,Monaco
Jamaica,Jamaica,2961161,Americas,Kingston
Greece,Hellenic Republic,10715549,Europe,Athens
Lithuania,Republic of Lithuania,2794700,Europe,Vilnius
United Kingdom,United Kingdom of Great Britain and Northern Ireland,67215293,Europe,London
Kuwait,State of Kuwait,4270563,Asia,Kuwait City
Tajikistan,Republic of Tajikistan,9537642,Asia,Dushanbe
Nicaragua,Republic of Nicaragua,6624554,Americas,Managua
Rwanda,Republic of Rwanda,12952209,Africa,Kigali
Laos,Lao People's Democratic Republic,7275556,Asia,Vientiane
Ecuador,Republic of Ecuador,17643060,Americas,Quito
Tanzania,United Republic of Tanzania,59734213,Africa,Dodoma
Morocco,Kingdom of Morocco,36910558,Africa,Rabat
Micronesia,Federated States of Micronesia,115021,Oceania,Palikir
Philippines,Republic of the Philippines,109581085,Asia,Manila
Montenegro,Montenegro,621718,Europe,Podgorica
Chile,Republic of Chile,19116209,Americas,Santiago
Bahamas,Commonwealth of the Bahamas,393248,Americas,Nassau
Latvia,Republic of Latvia,1901548,Europe,Riga
Tunisia,Tunisian Republic,11818618,Africa,Tunis
Jersey,Bailiwick of Jersey,100800,Europe,Saint Helier
Costa Rica,Republic of Costa Rica,5094114,Americas,San José
United Arab Emirates,United Arab Emirates,9890400,Asia,Abu Dhabi
Libya,State of Libya,6871287,Africa,Tripoli
Comoros,Union of the Comoros,869595,Africa,Moroni
Sint Maarten,Sint Maarten,40812,Americas,Philipsburg
Zimbabwe,Republic of Zimbabwe,14862927,Africa,Harare
Solomon Islands,Solomon Islands,686878,Oceania,Honiara
South Georgia,South Georgia and the South Sandwich Islands,30,Antarctic,King Edward Point
Somalia,Federal Republic of Somalia,15893219,Africa,Mogadishu
Brazil,Federative Republic of Brazil,212559409,Americas,Brasília
Trinidad and Tobago,Republic of Trinidad and Tobago,1399491,Americas,Port of Spain
Armenia,Republic of Armenia,2963234,Asia,Yerevan
Bangladesh,People's Republic of Bangladesh,164689383,Asia,Dhaka
Turks and Caicos Islands,Turks and Caicos Islands,38718,Americas,Cockburn Town
Portugal,Portuguese Republic,10305564,Europe,Lisbon
Cuba,Republic of Cuba,11326616,Americas,Havana
Palau,Republic of Palau,18092,Oceania,Ngerulmud
Chad,Republic of Chad,16425859,Africa,N'Djamena
Faroe Islands,Faroe Islands,48865,Europe,Tórshavn
Botswana,Republic of Botswana,2351625,Africa,Gaborone
Estonia,Republic of Estonia,1331057,Europe,Tallinn
British Indian Ocean Territory,British Indian Ocean Territory,3000,Africa,Diego Garcia
Turkmenistan,Turkmenistan,6031187,Asia,Ashgabat
South Sudan,Republic of South Sudan,11193729,Africa,Juba
Antigua and Barbuda,Antigua and Barbuda,97928,Americas,Saint John's
French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,400,Antarctic,Port-aux-Français
Christmas Island,Territory of Christmas Island,2072,Oceania,Flying Fish Cove
Western Sahara,Sahrawi Arab Democratic Republic,510713,Africa,El Aaiún
Dominican Republic,Dominican Republic,10847904,Americas,Santo Domingo
Bahrain,Kingdom of Bahrain,1701583,Asia,Manama
Montserrat,Montserrat,4922,Americas,Plymouth
Luxembourg,Grand Duchy of Luxembourg,632275,Europe,Luxembourg
Pitcairn Islands,Pitcairn Group of Islands,56,Oceania,Adamstown
