name,official_name,population,region,capital
Jamaica,Jamaica,2961161,Americas,Kingston
Latvia,Republic of Latvia,1901548,Europe,Riga
Tajikistan,Republic of Tajikistan,9537642,Asia,Dushanbe
Senegal,Republic of Senegal,16743930,Africa,Dakar
Lesotho,Kingdom of Lesotho,2142252,Africa,Maseru
Comoros,Union of the Comoros,869595,Africa,Moroni
Rwanda,Republic of Rwanda,12952209,Africa,Kigali
Vanuatu,Republic of Vanuatu,307150,Oceania,Port Vila
Sint Maarten,Sint Maarten,40812,Americas,Philipsburg
Zimbabwe,Republic of Zimbabwe,14862927,Africa,Harare
Lithuania,Republic of Lithuania,2794700,Europe,Vilnius
Tunisia,Tunisian Republic,11818618,Africa,Tunis
Ecuador,Republic of Ecuador,17643060,Americas,Quito
South Sudan,Republic of South Sudan,11193729,Africa,Juba
Greece,Hellenic Republic,10715549,Europe,Athens
Kuwait,State of Kuwait,4270563,Asia,Kuwait City
Laos,Lao People's Democratic Republic,7275556,Asia,Vientiane
Nicaragua,Republic of Nicaragua,6624554,Americas,Managua
United Kingdom,United Kingdom of Great Britain and Northern Ireland,67215293,Europe,London
Tanzania,United Republic of Tanzania,59734213,Africa,Dodoma
Costa Rica,Republic of Costa Rica,5094114,Americas,San José
Libya,State of Libya,6871287,Africa,Tripoli
Montenegro,Montenegro,621718,Europe,Podgorica
Bahamas,Commonwealth of the Bahamas,393248,Americas,Nassau
Morocco,Kingdom of Morocco,36910558,Africa,Rabat
Solomon Islands,Solomon Islands,686878,Oceania,Honiara
Philippines,Republic of the Philippines,109581085,Asia,Manila
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",53192,Africa,Jamestown
Chile,Republic of Chile,19116209,Americas,Santiago
United Arab Emirates,United Arab Emirates,9890400,Asia,Abu Dhabi
Micronesia,Federated States of Micronesia,115021,Oceania,Palikir
Jersey,Bailiwick of Jersey,100800,Europe,Saint Helier
Antigua and Barbuda,Antigua and Barbuda,97928,Americas,Saint John's
Luxembourg,Grand Duchy of Luxembourg,632275,Europe,Luxembourg
Somalia,Federal Republic of Somalia,15893219,Africa,Mogadishu
Armenia,Republic of Armenia,2963234,Asia,Yerevan
Pakistan,Islamic Republic of Pakistan,220892331,Asia,Islamabad
Bangladesh,People's Republic of Bangladesh,164689383,Asia,Dhaka
Faroe Islands,Faroe Islands,48865,Europe,Tórshavn
Chad,Republic of Chad,16425859,Africa,N'Djamena
Palau,Republic of Palau,18092,Oceania,Ngerulmud
Turkmenistan,Turkmenistan,6031187,Asia,Ashgabat
Bosnia and Herzegovina,Bosnia and Herzegovina,3280815,Europe,Sarajevo
Cuba,Republic of Cuba,11326616,Americas,Havana
Monaco,Principality of Monaco,39244,Europe,Monaco
Estonia,Republic of Estonia,1331057,Europe,Tallinn
Turks and Caicos Islands,Turks and Caicos Islands,38718,Americas,Cockburn Town
British Indian Ocean Territory,British Indian Ocean Territory,3000,Africa,Diego Garcia
Brazil,Federative Republic of Brazil,212559409,Americas,Brasília
Botswana,Republic of Botswana,2351625,Africa,Gaborone
French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,400,Antarctic,Port-aux-Français
Trinidad and Tobago,Republic of Trinidad and Tobago,1399491,Americas,Port of Spain
Western Sahara,Sahrawi Arab Democratic Republic,510713,Africa,El Aaiún
Bahrain,Kingdom of Bahrain,1701583,Asia,Manama
Christmas Island,Territory of Christmas Island,2072,Oceania,Flying Fish Cove
Greenland,Greenland,56367,Americas,Nuuk
Dominican Republic,Dominican Republic,10847904,Americas,Santo Domingo
Algeria,People's Democratic Republic of Algeria,44700000,Africa,Algiers
Cook Islands,Cook Islands,18100,Oceania,Avarua
Colombia,Republic of Colombia,50882884,Americas,Bogotá
Pitcairn Islands,Pitcairn Group of Islands,56,Oceania,Adamstown
Ireland,Republic of Ireland,4994724,Europe,Dublin
Montserrat,Montserrat,4922,Americas,Plymouth
United States,United States of America,329484123,Americas,"Washington, D.C."
Portugal,Portuguese Republic,10305564,Europe,Lisbon
Mozambique,Republic of Mozambique,31255435,Africa,Maputo
Czechia,Czech Republic,10698896,Europe,Prague
Namibia,Republic of Namibia,2540916,Africa,Windhoek
Canada,Canada,38005238,Americas,Ottawa
Indonesia,Republic of Indonesia,273523621,Asia,Jakarta
Guernsey,Bailiwick of Guernsey,62999,Europe,St. Peter Port
Dominican Republic,Dominican Republic,10847904,Americas,Santo Domingo
Maldives,Republic of the Maldives,540542,Asia,Malé
Niger,Republic of Niger,24206636,Africa,Niamey
Gabon,Gabonese Republic,2225728,Africa,Libreville
Eritrea,State of Eritrea,5352000,Africa,Asmara
Cyprus,Republic of Cyprus,1207361,Europe,Nicosia
Oman,Sultanate of Oman,5106622,Asia,Muscat
Panama,Republic of Panama,4314768,Americas,Panama City
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,7500700,Asia,City of Victoria
Slovakia,Slovak Republic,5458827,Europe,Bratislava
Slovenia,Republic of Slovenia,2100126,Europe,Ljubljana
Yemen,Republic of Yemen,29825968,Asia,Sana'a
British Virgin Islands,Virgin Islands,30237,Americas,Road Town
South Georgia,South Georgia and the South Sandwich Islands,30,Antarctic,King Edward Point
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,110947,Americas,Kingstown
Kiribati,Independent and Sovereign Republic of Kiribati,119446,Oceania,South Tarawa
Germany,Federal Republic of Germany,83240525,Europe,Berlin
Kosovo,Republic of Kosovo,1775378,Europe,Pristina
Sri Lanka,Democratic Socialist Republic of Sri Lanka,21919000,Asia,Sri Jayawardenepura Kotte
Papua New Guinea,Independent State of Papua New Guinea,8947027,Oceania,Port Moresby
Nigeria,Federal Republic of Nigeria,206139587,Africa,Abuja
Haiti,Republic of Haiti,11402533,Americas,Port-au-Prince
Heard Island and McDonald Islands,Heard Island and McDonald Islands,0,Antarctic,Unknown
Israel,State of Israel,9216900,Asia,Jerusalem
Åland Islands,Åland Islands,29458,Europe,Mariehamn
Denmark,Kingdom of Denmark,5831404,Europe,Copenhagen
Saint Martin,Saint Martin,38659,Americas,Marigot
Gibraltar,Gibraltar,33691,Europe,Gibraltar
Bouvet Island,Bouvet Island,0,Antarctic,Unknown
Syria,Syrian Arab Republic,17500657,Asia,Damascus
